miR-30a/30a-5p/30b/30b-5p/30cde/384-5p,3686
miR-340/340-5p,3580
miR-181,3344
miR-27ab,3276
miR-124/506,3232
miR-144,3024
miR-17-5p/20/93.mr/106/519.d,3004
miR-200bc/429,2968
miR-19,2936
miR-300,2912
miR-23ab,2880
miR-15/16/195/424/497,2862
miR-128,2786
miR-101,2762
miR-130/301,2744
miR-182,2734
miR-137,2636
miR-25/32/92/92ab/363/367,2630
miR-96/1271,2514
miR-9,2510
miR-495/1192,2492
miR-543,2386
miR-590/590-3p,2366
miR-26ab/1297,2354
miR-374/374ab,2282
miR-153,2252
miR-448,2244
miR-148/152,2232
miR-186,2132
miR-320/320abcd,2078
miR-218,2070
miR-141/200a,2066
miR-410,2064
miR-29abc,2056
let-7/98,2044
miR-106/302,2014
miR-203,1948
miR-103/107,1876
miR-1/206,1746
miR-145,1732
miR-494,1698
miR-204/211,1690
miR-202/202-3p,1670
miR-133,1656
miR-135,1622
miR-129/129-5p,1536
miR-539,1530
miR-125/351,1520
miR-221/222,1500
miR-34a/34b-5p/34c/34c-5p/449/449abc/699,1492
miR-377,1448
miR-214/761,1372
miR-544,1366
miR-132/212,1356
miR-33/33ab,1334
miR-139-5p,1318
miR-421,1306
miR-199/199-5p,1304
miR-194,1284
miR-138,1258
miR-183,1246
miR-24,1242
miR-217,1204
miR-503,1190
miR-205,1122
miR-7/7ab,1098
miR-219/219-5p,1058
miR-155,1058
miR-224,1050
miR-142-3p,1006
miR-329/362-3p,984
miR-22,960
miR-376c,952
miR-140/140-5p/876-3p,940
miR-21/590-5p,936
miR-499/499-5p,928
miR-10,922
miR-143,910
miR-433,858
miR-342/342-3p,856
miR-488,846
miR-290-5p/292-5p/371-5p,836
miR-326/330/330-5p,822
miR-216/216a,816
miR-31,812
miR-223,810
miR-365,808
miR-338/338-3p,802
miR-216/216b,784
miR-18ab,782
miR-196ab,776
miR-592/599,758
miR-376/376ab/376b-3p,756
miR-425/489,752
miR-455/455-5p,746
miR-340/340-5p:2,736
miR-149,734
miR-542/542-3p,728
miR-370,720
miR-181:1,714
miR-30a/30a-5p/30b/30b-5p/30cde/384-5p:1,712
miR-384/384-3p,700
miR-758,700
miR-382,700
miR-197,698
miR-181:2,678
miR-340/340-5p:1,676
miR-375,662
miR-335/335-5p,648
miR-30a/30a-5p/30b/30b-5p/30cde/384-5p:2,636
miR-653,634
miR-190,634
miR-15/16/195/424/497:2,622
miR-485/485-5p,622
miR-124/506:2,622
miR-208/208ab,622
miR-193ab,610
miR-17-5p/20/93.mr/106/519.d:2,606
miR-505.hm,592
miR-486/486-5p,590
miR-873,584
miR-300:1,576
miR-300:2,572
miR-136,572
miR-876-5p,554
miR-361/361-5p,552
miR-185/882,552
miR-124/506:1,552
miR-101:2,552
miR-874,542
miR-144:2,542
miR-150,540
miR-495/1192:2,538
miR-15/16/195/424/497:1,536
miR-590/590-3p:2,534
miR-200bc/429:1,532
