1,522
2,530
3,529
4,507
5,571
6,549
7,589
8,563
9,574
10,530
11,555
12,547
13,521
14,568
15,554
16,579
17,520
18,493
19,507
20,508
21,513
22,506
23,476
24,480
25,494
26,446
27,480
28,471
29,454
30,447
31,502
32,493
33,450
34,425
35,424
36,521
37,430
38,468
39,460
40,419
41,422
42,454
43,392
44,425
45,446
46,413
47,441
48,428
49,388
50,400
51,405
52,424
53,359
54,387
55,421
56,405
57,431
58,388
59,410
60,413
61,429
62,379
63,405
64,354
65,373
66,349
67,398
68,414
69,397
70,369
71,359
72,351
73,391
74,371
75,386
76,370
77,342
78,358
79,332
80,358
81,360
82,378
83,365
84,367
85,344
86,364
87,324
88,379
89,357
90,347
91,348
92,317
93,326
94,369
95,332
96,347
97,338
98,342
99,367
100,350
101,374
102,308
103,332
104,344
105,324
106,325
107,306
108,314
109,339
110,320
111,345
112,327
113,329
114,353
115,327
116,324
117,337
118,352
119,338
120,297
121,290
122,325
123,300
124,325
125,302
126,309
127,355
128,280
129,303
130,326
131,338
132,336
133,319
134,330
135,308
136,324
137,327
138,296
139,291
140,275
141,295
142,304
143,289
144,292
145,295
146,299
147,304
148,291
149,271
150,296
